Month,avg(congestion_surcharge)
12,2.3637746181447326
11,2.3700751848130217
10,2.3701500255590155
9,2.1785395163145385
8,2.214648131082767
7,2.344199109135293
6,2.3497376436860806
5,2.351684125333869
4,2.3605238925169587
3,2.361690197466014
2,2.2829698656084143
1,1.9675172049060883
